iter	Passed	Remaining
0	11	3476
1	20	3050
2	29	2927
3	39	2939
4	48	2887
5	56	2786
6	65	2748
7	72	2660
8	79	2563
9	85	2482
10	91	2412
11	97	2347
12	104	2306
13	110	2259
14	116	2217
15	123	2197
16	130	2164
17	136	2137
18	142	2111
19	149	2086
20	155	2064
21	161	2045
22	168	2027
23	175	2014
24	181	1992
25	187	1974
26	193	1961
27	200	1944
28	207	1934
29	213	1923
30	220	1913
31	227	1903
32	233	1891
33	241	1888
34	255	1938
35	269	1978
36	283	2014
37	297	2052
38	312	2089
39	324	2108
40	336	2122
41	345	2124
42	354	2120
43	363	2112
44	371	2105
45	379	2095
46	386	2079
47	393	2064
48	399	2046
49	405	2027
50	411	2010
51	417	1991
52	423	1973
53	429	1956
54	435	1938
55	441	1924
56	447	1908
57	454	1896
58	460	1880
59	466	1865
60	472	1851
61	478	1837
62	484	1821
63	490	1808
64	495	1792
65	502	1780
66	508	1768
67	514	1755
68	520	1743
69	527	1732
70	533	1719
71	539	1707
72	545	1695
73	551	1683
74	558	1674
75	564	1664
76	570	1652
77	576	1641
78	583	1631
79	588	1619
80	595	1608
81	601	1598
82	607	1588
83	613	1578
84	620	1569
85	626	1559
86	633	1550
87	639	1540
88	645	1531
89	653	1524
90	659	1514
91	666	1506
92	672	1497
93	680	1490
94	687	1482
95	694	1475
96	701	1468
97	708	1460
98	715	1453
99	723	1446
100	730	1438
101	736	1429
102	743	1422
103	751	1415
104	758	1408
105	766	1402
106	773	1395
107	780	1386
108	786	1378
109	793	1370
110	800	1362
111	806	1353
112	813	1345
113	820	1338
114	829	1333
115	837	1328
116	845	1322
117	852	1314
118	859	1307
119	866	1299
120	872	1290
121	879	1283
122	886	1275
123	893	1267
124	898	1258
125	905	1249
126	911	1241
127	917	1232
128	924	1225
129	931	1218
130	938	1210
131	945	1203
132	952	1196
133	960	1189
134	968	1183
135	975	1176
136	982	1169
137	989	1161
138	996	1154
139	1003	1146
140	1009	1138
141	1016	1130
142	1022	1122
143	1029	1115
144	1036	1107
145	1042	1099
146	1049	1092
147	1055	1084
148	1062	1076
149	1068	1068
150	1075	1061
151	1081	1053
152	1088	1045
153	1095	1038
154	1101	1030
155	1106	1021
156	1113	1014
157	1119	1005
158	1125	997
159	1130	989
160	1138	982
161	1143	974
162	1149	966
163	1156	958
164	1163	951
165	1169	943
166	1174	935
167	1180	927
168	1186	919
169	1192	911
170	1198	904
171	1205	896
172	1210	888
173	1217	881
174	1224	874
175	1230	866
176	1237	859
177	1244	852
178	1250	845
179	1256	837
180	1262	830
181	1268	822
182	1275	815
183	1282	808
184	1288	801
185	1295	793
186	1302	786
187	1308	779
188	1314	772
189	1321	764
190	1327	757
191	1334	750
192	1341	743
193	1347	736
194	1353	728
195	1360	721
196	1367	714
197	1372	707
198	1379	700
199	1386	693
200	1392	685
201	1398	678
202	1405	671
203	1413	664
204	1419	657
205	1425	650
206	1430	642
207	1437	635
208	1443	628
209	1449	621
210	1456	614
211	1462	607
212	1469	600
213	1476	593
214	1483	586
215	1489	579
216	1496	572
217	1503	565
218	1510	558
219	1517	551
220	1523	544
221	1530	537
222	1536	530
223	1543	523
224	1556	518
225	1568	513
226	1579	508
227	1588	501
228	1598	495
229	1609	489
230	1620	483
231	1631	478
232	1641	472
233	1650	465
234	1659	458
235	1666	452
236	1675	445
237	1684	438
238	1692	431
239	1700	425
240	1707	418
241	1714	411
242	1723	404
243	1732	397
244	1739	390
245	1745	383
246	1751	375
247	1759	368
248	1766	361
249	1773	354
250	1779	347
251	1786	340
252	1793	333
253	1800	326
254	1807	318
255	1814	311
256	1820	304
257	1827	297
258	1833	290
259	1840	283
260	1846	275
261	1853	268
262	1859	261
263	1867	254
264	1876	247
265	1884	240
266	1894	234
267	1904	227
268	1913	220
269	1920	213
270	1928	206
271	1936	199
272	1944	192
273	1951	185
274	1958	178
275	1966	170
276	1973	163
277	1981	156
278	1988	149
279	1995	142
280	2003	135
281	2011	128
282	2018	121
283	2024	114
284	2031	106
285	2038	99
286	2044	92
287	2049	85
288	2056	78
289	2063	71
290	2071	64
291	2078	56
292	2085	49
293	2092	42
294	2101	35
295	2108	28
296	2117	21
297	2126	14
298	2135	7
299	2142	0
